X,Y,OBJECTID,NCESSCH,NAME,IPR_EST,IPR_SE,SCHOOLYEAR,LAT,LON
-86.593651,33.655829,64,10001300714,HewittTrussville Middle School,402,97,2018-2019,33.655829,-86.593651
-86.567607,33.649323,65,10001301498,Paine Elementary School,378,91,2018-2019,33.649323,-86.567607
-86.590765,33.665684,66,10001301682,HewittTrussville High School,444,97,2018-2019,33.665684,-86.590765
-86.623626,33.599544,67,10001302401,Magnolia Elementary School,374,111,2018-2019,33.599544,-86.623626
-86.603955,33.629258,68,10001302402,Cahaba Elementary School,348,88,2018-2019,33.629258,-86.603955
-87.077608,32.11162,69,10001501827,SafetyNet Academy Minter,215,125,2018-2019,32.11162,-87.077608
-86.304436,32.374794,70,10001502118,Mac Sim Butler Montgomery County Detention Facility,130,68,2018-2019,32.374794,-86.304436
-86.201852,32.361496,71,10001502121,Safety Net Academy Montgomery,291,156,2018-2019,32.361496,-86.201852
-86.201852,32.361496,72,10001502126,Safety Net Academy Montgomery,291,156,2018-2019,32.361496,-86.201852
-86.944188,32.442925,73,10001502131,Perry Varner Educational and Treatment Facility,191,141,2018-2019,32.442925,-86.944188
-87.038078,34.619189,74,10001502458,Morgan County System of Services Inc,210,101,2018-2019,34.619189,-87.038078
-86.803891,33.504855,75,10001601828,DMH Adolescent Education Program UAB,92,67,2018-2019,33.504855,-86.803891
-86.873858,33.432125,76,10001901830,United Ability,195,109,2018-2019,33.432125,-86.873858
-87.122217,33.22599,77,10002001831,The Boyd School,267,96,2018-2019,33.22599,-87.122217
-87.481937,33.187754,78,10002101832,BrewerPorch Childrens Center,267,85,2018-2019,33.187754,-87.481937
-87.312122,34.670787,79,10002201833,Sequel TSI Courtland LLC,147,38,2018-2019,34.670787,-87.312122
-86.777872,34.723283,80,10002301834,Sequel TSI Madison LLC,576,101,2018-2019,34.723283,-86.777872
-86.440997,34.579414,81,10002401835,Sequel TSI New Beginnings LLC,386,113,2018-2019,34.579414,-86.440997
-85.661814,32.374834,82,10002602352,Sequel TSI Tuskegee LLC,182,36,2018-2019,32.374834,-85.661814
-87.187669,33.163401,83,10002801839,TriWil Inc,298,58,2018-2019,33.163401,-87.187669
-85.948794,32.945075,84,10003000001,Alexander City Middle School,139,59,2018-2019,32.945075,-85.948794
-85.950767,32.937748,85,10003000003,Benjamin Russell High School,124,64,2018-2019,32.937748,-85.950767
-85.930694,32.931162,86,10003000004,Jim Pearson Elementary School,216,117,2018-2019,32.931162,-85.930694
-85.949032,32.955521,87,10003000005,Nathaniel H Stephens Elementary School,129,43,2018-2019,32.955521,-85.949032
-85.972619,32.929457,88,10003000006,William L Radney Elementary School,188,95,2018-2019,32.929457,-85.972619
-86.665128,33.48039,89,10003301843,Glenwood Inc,760,101,2018-2019,33.48039,-86.665128
-86.665128,33.48039,90,10003302125,Daniel House,760,101,2018-2019,33.48039,-86.665128
-86.665128,33.48039,91,10003302130,Glenwood Wilderness,760,101,2018-2019,33.48039,-86.665128
-88.229311,30.794646,92,10003501845,Learning Tree Inc Semmes,229,83,2018-2019,30.794646,-88.229311
-85.725683,33.921026,93,10003501846,Learning Tree Inc Webb,266,101,2018-2019,33.921026,-85.725683
-85.894875,32.534892,94,10003502105,Learning Tree Inc Tallassee,177,58,2018-2019,32.534892,-85.894875
-85.47482,32.613378,95,10003502370,Spec Ed Private Services Child Count Only,231,58,2018-2019,32.613378,-85.47482
-85.428184,32.642141,96,10003602451,Lee Co Youth Detention Ctr,161,75,2018-2019,32.642141,-85.428184
-88.177804,30.624823,97,10003701848,BayPointe ResidentialAltaPointe Health Systems,412,151,2018-2019,30.624823,-88.177804
-85.90201,31.42272,98,10003801849,Pathway Inc,249,79,2018-2019,31.42272,-85.90201
-87.617528,31.07607,99,10003802468,Pathway at Baldwin,206,124,2018-2019,31.07607,-87.617528
-86.086728,33.4327,100,10003901850,Presbyterian Home for Children,290,115,2018-2019,33.4327,-86.086728
-86.290431,32.38493,101,10004001851,Brantwood Childrens Home,134,56,2018-2019,32.38493,-86.290431
-86.825044,33.232463,102,10004101852,Developing Alabama Youth Prog,290,116,2018-2019,33.232463,-86.825044
-85.384637,31.203802,103,10004201853,Laurel Oaks Behavioral Health Center,127,24,2018-2019,31.203802,-85.384637
-86.019739,34.072451,104,10004301854,Southeastern Psychiaric Management Inc,244,90,2018-2019,34.072451,-86.019739
-86.758081,33.545872,105,10004401855,The Rushton SchoolGateway Center,76,70,2018-2019,33.545872,-86.758081
-86.470843,31.315366,106,10006000007,Andalusia High School,218,68,2018-2019,31.315366,-86.470843
-86.470935,31.314977,107,10006000008,Andalusia Junior High,220,68,2018-2019,31.314977,-86.470935
-86.502504,31.284565,108,10006001467,Andalusia Elementary School,201,88,2018-2019,31.284565,-86.502504
-85.819992,33.661225,109,10009000011,Anniston High School,132,34,2018-2019,33.661225,-85.819992
-85.775823,33.632131,110,10009000017,Golden Springs Elementary School,205,82,2018-2019,33.632131,-85.775823
-85.859083,33.665644,111,10009000020,Randolph Park Elementary School,111,29,2018-2019,33.665644,-85.859083
-85.808646,33.65806,112,10009000021,Tenth Street Elementary School,182,50,2018-2019,33.65806,-85.808646
-85.822842,33.708181,113,10009001246,Anniston City Boot Camp School,174,39,2018-2019,33.708181,-85.822842
-85.822842,33.708181,114,10009001725,Anniston Middle School,174,39,2018-2019,33.708181,-85.822842
-85.841746,33.661713,115,10009001782,Cobb PreK Academy,98,25,2018-2019,33.661713,-85.841746
-86.494268,34.329288,116,10010000022,Arab Elementary School,188,78,2018-2019,34.329288,-86.494268
-86.496624,34.33491,117,10010000025,Arab Primary School,324,114,2018-2019,34.33491,-86.496624
-86.510509,34.312381,118,10010000027,Arab Junior High School,187,66,2018-2019,34.312381,-86.510509
-86.48857,34.329247,119,10010000028,Arab High School,256,98,2018-2019,34.329247,-86.48857
-86.996665,34.793435,120,10012000522,Athens Intermediate School,342,128,2018-2019,34.793435,-86.996665
-86.973266,34.808687,121,10012001471,Athens Elementary School,266,81,2018-2019,34.808687,-86.973266
-86.949293,34.812319,122,10012001472,Athens High School,137,53,2018-2019,34.812319,-86.949293
-86.949838,34.803346,123,10012001473,Athens Middle School,316,121,2018-2019,34.803346,-86.949838
-86.993432,34.804348,124,10012001474,James L Cowart Elementary School,333,122,2018-2019,34.804348,-86.993432
-86.96261,34.799304,125,10012001475,Julian Newman Elementary School,330,102,2018-2019,34.799304,-86.96261
-86.9629,34.781914,126,10012001758,Brookhill Elementary School,222,103,2018-2019,34.781914,-86.9629
-86.964919,34.800179,127,10012002417,Athens Renaissance School,329,109,2018-2019,34.800179,-86.964919
-86.971889,34.801085,128,10012002461,Alabama Renaissance School,325,108,2018-2019,34.801085,-86.971889
-88.082939,30.704663,129,10017502112,POINTE Academy LLC,110,43,2018-2019,30.704663,-88.082939
-86.332274,33.364683,130,10017602108,Childersburg Boot Camp,179,52,2018-2019,33.364683,-86.332274
-86.337457,32.577049,131,10017602109,Draper Correctional Facility,264,88,2018-2019,32.577049,-86.337457
-86.193789,32.564214,132,10017602110,Tutwiler Prison,372,62,2018-2019,32.564214,-86.193789
-87.184745,33.51396,133,10017602111,W E Donaldson,300,58,2018-2019,33.51396,-87.184745
-86.391816,32.582667,134,10017602460,JF Ingram State Technical College Special Services,361,67,2018-2019,32.582667,-86.391816
-86.101496,32.387976,135,10017602465,Kilby Correctional Facility,384,119,2018-2019,32.387976,-86.101496
-86.333054,32.577164,136,10017602466,Staton Correctional Facility,263,85,2018-2019,32.577164,-86.333054
-86.391869,32.581384,137,10017602467,Frank Lee Youth Center,361,66,2018-2019,32.581384,-86.391869
-86.730571,33.548911,138,10017802113,Higdon Hill School,100,21,2018-2019,33.548911,-86.730571
-86.730571,33.548911,139,10017802374,Higdon Hill School,100,21,2018-2019,33.548911,-86.730571
-88.33722,30.619211,140,10017902107,The Bridge Inc Mobile,310,108,2018-2019,30.619211,-88.33722
-85.979239,34.071923,141,10017902459,The Bridge Inc Gadsden,330,102,2018-2019,34.071923,-85.979239
-86.110859,33.995973,142,10018000033,Etowah High School,210,79,2018-2019,33.995973,-86.110859
-86.112782,33.995704,143,10018000034,Etowah Middle School,207,78,2018-2019,33.995704,-86.112782
-86.126219,33.998734,144,10018000035,Attalla Elementary School,190,65,2018-2019,33.998734,-86.126219
-87.268202,31.006675,145,10018102116,Compass School,169,47,2018-2019,31.006675,-87.268202
-86.646003,33.58486,146,10018302114,Alabama Clinical Schools,234,105,2018-2019,33.58486,-86.646003
-86.02093,34.011773,147,10018402115,Excel Institute,124,30,2018-2019,34.011773,-86.02093
-88.065367,30.8313,148,10018500893,Saraland Middle SchoolAdams Campus,147,43,2018-2019,30.8313,-88.065367
-88.078798,30.810124,149,10018500952,Saraland Elementary School,256,44,2018-2019,30.810124,-88.078798
-88.100153,30.796015,150,10018502137,Saraland High School,337,100,2018-2019,30.796015,-88.100153
-88.127436,30.862646,151,10018502427,Saraland Early Education Center,302,84,2018-2019,30.862646,-88.127436
-86.326001,32.353,152,10018602335,Father Purcell Memorial Exceptional Childrens Center,183,133,2018-2019,32.353,-86.326001
-86.286837,32.425143,153,10018702371,Montgomery Childrens Specialty Center,125,28,2018-2019,32.425143,-86.286837
-88.082215,30.761258,154,10018802193,Chickasaw City Elementary School,133,47,2018-2019,30.761258,-88.082215
-88.077977,30.75687,155,10018802194,Chickasaw City High School,108,38,2018-2019,30.75687,-88.077977
-88.078622,30.756856,156,10018802428,Chickasaw Middle School,106,36,2018-2019,30.756856,-88.078622
-88.056867,30.847077,157,10018902195,Satsuma High School,187,46,2018-2019,30.847077,-88.056867
-88.067029,30.846614,158,10018902196,Robert E Lee Elementary,246,68,2018-2019,30.846614,-88.067029
-86.824098,33.224912,159,10019001182,Thompson Intermediate School,294,108,2018-2019,33.224912,-86.824098
-86.845962,33.222102,160,10019001183,Thompson High School,426,144,2018-2019,33.222102,-86.845962
-86.838544,33.217043,161,10019001184,Thompson Middle School,327,119,2018-2019,33.217043,-86.838544
-86.808574,33.17642,162,10019001460,Meadow View  Elementary School,348,102,2018-2019,33.17642,-86.808574
-86.864943,33.225792,163,10019001815,Creek View Elementary School,302,73,2018-2019,33.225792,-86.864943
-86.824103,33.226128,164,10019002149,Thompson Sixth Grade Center,287,111,2018-2019,33.226128,-86.824103
-87.545493,33.208594,165,10019102305,Evergreen School,371,155,2018-2019,33.208594,-87.545493
-86.261669,32.289712,166,10019201694,Montgomery Public Schools MPS Classroom McInnis,219,112,2018-2019,32.289712,-86.261669
-88.141573,30.721769,167,10019302341,St Marys Home,171,55,2018-2019,30.721769,-88.141573
-86.789469,33.309908,168,10019402395,Pelham Oaks,373,107,2018-2019,33.309908,-86.789469
-86.78671,33.275334,169,10019402396,Pelham Ridge,374,119,2018-2019,33.275334,-86.78671
-86.808097,33.30662,170,10019402398,Pelham Park Middle School,308,79,2018-2019,33.30662,-86.808097
-86.82121,33.312895,171,10019402399,Pelham High School,329,87,2018-2019,33.312895,-86.82121
-86.028178,32.338392,172,10019502407,Pike Road Elementary School,521,86,2018-2019,32.338392,-86.028178
-86.103225,32.285484,173,10019502424,Pike Road Middle School,517,60,2018-2019,32.285484,-86.103225
-86.102682,32.355003,174,10019502441,Pike Road High School,466,90,2018-2019,32.355003,-86.102682
-88.11973,30.668018,175,10019702432,Acceleration Day and Evening Academy,178,72,2018-2019,30.668018,-88.11973
-86.31163,32.37078,176,10019802450,Sequel TSI Montgomery LLC,128,71,2018-2019,32.37078,-86.31163
-88.189067,32.586288,177,10019902452,University Charter School,171,68,2018-2019,32.586288,-88.189067
-85.404667,32.638835,178,10020002463,East Alabama Medical Center,148,100,2018-2019,32.638835,-85.404667
-85.446081,32.603878,179,10021000036,Auburn High School,466,88,2018-2019,32.603878,-85.446081
-85.463119,32.596469,180,10021000037,Auburn Junior High School,353,59,2018-2019,32.596469,-85.463119
-85.484673,32.620936,181,10021000039,Cary Woods Elementary School,284,90,2018-2019,32.620936,-85.484673
-85.464089,32.600491,182,10021000040,Dean Road Elementary School,324,57,2018-2019,32.600491,-85.464089
-85.494389,32.618099,183,10021000041,Drake Middle School,228,85,2018-2019,32.618099,-85.494389
-85.472008,32.589963,184,10021000042,Wrights Mill Road Elementary School,449,80,2018-2019,32.589963,-85.472008
-85.468923,32.585926,185,10021000053,Auburn Early Education Center,467,78,2018-2019,32.585926,-85.468923
-85.456576,32.564003,186,10021001254,Ogletree Elementary School,398,72,2018-2019,32.564003,-85.456576
-85.506468,32.640382,187,10021001259,Margaret Yarbrough Elementary School,499,131,2018-2019,32.640382,-85.506468
-85.513374,32.619649,188,10021001879,Richland Elementary School,415,93,2018-2019,32.619649,-85.513374
-85.47833,32.633511,189,10021002363,Pick Elementary School,412,122,2018-2019,32.633511,-85.47833
-85.476613,32.598241,190,10021002440,East Samford School,349,78,2018-2019,32.598241,-85.476613
-85.517929,32.623183,191,10021002454,Creekside Elementary School,462,115,2018-2019,32.623183,-85.517929
-86.700747,32.663571,192,10024000045,Billingsley High School,183,43,2018-2019,32.663571,-86.700747
-86.481999,32.619027,193,10024000046,Marbury High School,300,62,2018-2019,32.619027,-86.481999
-86.455471,32.454675,194,10024000047,Prattville Elementary School,208,56,2018-2019,32.454675,-86.455471
-86.471585,32.500533,195,10024000048,Prattville High School,235,93,2018-2019,32.500533,-86.471585
-86.470642,32.484949,196,10024000049,Prattville Junior High School,173,68,2018-2019,32.484949,-86.470642
-86.451616,32.454222,197,10024000050,Prattville Intermediate School,234,60,2018-2019,32.454222,-86.451616
-86.46838,32.462388,198,10024000051,Prattville Primary School,206,55,2018-2019,32.462388,-86.46838
-86.463004,32.589386,199,10024000543,Pine Level Elementary School,295,58,2018-2019,32.589386,-86.463004
-86.42219,32.452238,200,10024000546,Daniel Pratt Elementary School,314,73,2018-2019,32.452238,-86.42219
-86.454282,32.455059,201,10024000587,Autauga County Alternative School,212,58,2018-2019,32.455059,-86.454282
-86.473537,32.500629,202,10024000590,Autauga County Technology Center,241,95,2018-2019,32.500629,-86.473537
-86.659977,32.433931,203,10024001408,Autaugaville School,179,52,2018-2019,32.433931,-86.659977
-86.421643,32.448195,204,10024001550,Louise M Smith Development Center,293,67,2018-2019,32.448195,-86.421643
-86.466194,32.457364,205,10024001639,Prattville Kindergarten School,201,56,2018-2019,32.457364,-86.466194
-86.474055,32.700293,206,10024002159,Marbury Middle School,269,54,2018-2019,32.700293,-86.474055
-87.870063,30.617332,207,10027000013,Daphne Middle School,405,80,2018-2019,30.617332,-87.870063
-87.678994,30.269068,208,10027000023,Gulf Shores Middle School,265,49,2018-2019,30.269068,-87.678994
-87.706485,30.540413,209,10027000024,Robertsdale High School,242,27,2018-2019,30.540413,-87.706485
-87.902219,30.591378,210,10027000056,W J Carroll Intermediate School,464,106,2018-2019,30.591378,-87.902219
-87.59976,30.419807,211,10027000057,Elberta High School,246,44,2018-2019,30.419807,-87.59976
-87.624328,30.567272,212,10027000058,Elsanor School,236,53,2018-2019,30.567272,-87.624328
-87.881755,30.495443,213,10027000059,Fairhope Middle School,384,113,2018-2019,30.495443,-87.881755
-87.688472,30.407235,214,10027000060,Foley Middle School,248,50,2018-2019,30.407235,-87.688472
-87.622619,31.00521,215,10027000062,Perdido Elementary School,158,79,2018-2019,31.00521,-87.622619
-87.686299,30.619407,216,10027000065,Rosinton School,296,91,2018-2019,30.619407,-87.686299
-87.753727,30.543328,217,10027000066,Silverhill School,302,38,2018-2019,30.543328,-87.753727
-87.904563,30.67443,218,10027000067,Spanish Fort Elementary School,491,70,2018-2019,30.67443,-87.904563
-87.790171,30.742356,219,10027000068,Stapleton School,405,65,2018-2019,30.742356,-87.790171
-87.695046,30.488992,220,10027000069,Summerdale School,246,44,2018-2019,30.488992,-87.695046
-87.728368,30.316295,221,10027000070,Swift Elementary School,234,45,2018-2019,30.316295,-87.728368
-87.8836,30.498068,222,10027000100,Fairhope High School,404,143,2018-2019,30.498068,-87.8836
-87.727747,30.582716,223,10027000162,Central Baldwin Middle School,297,44,2018-2019,30.582716,-87.727747
-87.557752,30.297043,224,10027000549,Orange Beach Elementary School,353,83,2018-2019,30.297043,-87.557752
-87.847823,30.677715,225,10027000550,Rockwell Elementary School,526,72,2018-2019,30.677715,-87.847823
-87.584406,30.412994,226,10027000625,Elberta Elementary School,233,45,2018-2019,30.412994,-87.584406
-87.675805,30.269146,227,10027000641,Gulf Shores High School,263,48,2018-2019,30.269146,-87.675805
-87.743575,30.419802,228,10027000648,Magnolia School,264,62,2018-2019,30.419802,-87.743575
-87.85694,30.473661,229,10027000660,J Larry Newton School,361,113,2018-2019,30.473661,-87.85694
-87.783729,30.865582,230,10027000664,North Baldwin Center For Technology,205,44,2018-2019,30.865582,-87.783729
-87.696247,30.549516,231,10027000665,South Baldwin Center For Technology,238,26,2018-2019,30.549516,-87.696247
-87.68009,30.268969,232,10027001477,Gulf Shores Elementary School,263,48,2018-2019,30.268969,-87.68009
-87.774686,30.890398,233,10027001708,Bay Minette Elementary School,220,40,2018-2019,30.890398,-87.774686
-87.904298,30.613027,234,10027001709,Daphne Elementary School,401,77,2018-2019,30.613027,-87.904298
-87.876402,30.526382,235,10027001710,Fairhope Intermediate School,514,165,2018-2019,30.526382,-87.876402
-87.901665,30.5305,236,10027001711,Fairhope Elementary School,470,122,2018-2019,30.5305,-87.901665
-87.690853,30.409549,237,10027001712,Foley Elementary School,250,49,2018-2019,30.409549,-87.690853
-87.69239,30.386036,238,10027001713,Foley Intermediate School,236,44,2018-2019,30.386036,-87.69239
-87.758576,30.614408,239,10027001714,Loxley Elementary School,295,65,2018-2019,30.614408,-87.758576
-87.74966,30.865417,240,10027001715,Pine Grove Elementary School,192,57,2018-2019,30.865417,-87.74966
-87.698513,30.551916,241,10027001716,Robertsdale Elementary School,241,26,2018-2019,30.551916,-87.698513
-87.86408,30.638818,242,10027001759,Daphne High School,383,74,2018-2019,30.638818,-87.86408
-87.849084,30.79009,243,10027001783,Delta Elementary School,456,104,2018-2019,30.79009,-87.849084
-87.689321,30.381721,244,10027001784,Foley High School,233,43,2018-2019,30.381721,-87.689321
-87.794007,30.893671,245,10027001810,Baldwin County High School,208,40,2018-2019,30.893671,-87.794007
-87.780681,30.893827,246,10027001859,Bay Minette Middle School,217,39,2018-2019,30.893827,-87.780681
-87.853961,30.71514,247,10027001888,Spanish Fort Middle School,477,90,2018-2019,30.71514,-87.853961
-87.869867,30.614061,248,10027002072,Daphne East Elementary School,390,91,2018-2019,30.614061,-87.869867
-87.854082,30.688661,249,10027002073,Spanish Fort High School,522,83,2018-2019,30.688661,-87.854082
-87.698735,30.552507,250,10027002180,CF Taylor Alternative School,241,26,2018-2019,30.552507,-87.698735
-87.901298,30.522039,251,10027002443,Baldwin County Virtual School,424,113,2018-2019,30.522039,-87.901298
-85.44613,31.868278,252,10030000074,Barbour County High School,115,37,2018-2019,31.868278,-85.44613
-85.550847,31.778742,253,10030001478,Barbour County Primary School,75,32,2018-2019,31.778742,-85.550847
-85.55456,31.7804,254,10030001641,Barbour County Intermediate School,76,29,2018-2019,31.7804,-85.55456
-86.933327,33.334137,255,10033000082,Greenwood Elementary School,451,125,2018-2019,33.334137,-86.933327
-86.941039,33.409709,256,10033000084,Charles F Hard Elementary School,109,41,2018-2019,33.409709,-86.941039
-86.985203,33.368618,257,10033000086,Bessemer City Middle School,304,143,2018-2019,33.368618,-86.985203
-86.999217,33.370885,258,10033000087,Bessemer City High School,266,132,2018-2019,33.370885,-86.999217
-86.958679,33.378496,259,10033000088,Jonesboro Elementary School,164,50,2018-2019,33.378496,-86.958679
-86.980463,33.378743,260,10033000090,Westhills Elementary School,180,63,2018-2019,33.378743,-86.980463
-86.958161,33.402275,261,10033001264,New Horizon Alternative School,167,63,2018-2019,33.402275,-86.958161
-86.999217,33.370885,262,10033001267,Bessemer Center For Technology,266,132,2018-2019,33.370885,-86.999217
-86.960252,33.412572,263,10033001479,Abrams Elementary School,195,74,2018-2019,33.412572,-86.960252
-87.142577,32.947233,264,10036000092,Bibb County High School,262,94,2018-2019,32.947233,-87.142577
-87.115079,32.943214,265,10036000094,Centreville Middle School,293,110,2018-2019,32.943214,-87.115079
-87.162241,32.942416,266,10036000095,Brent Elementary School,268,91,2018-2019,32.942416,-87.162241
-86.906058,32.901176,267,10036000096,Randolph Elementary School,227,75,2018-2019,32.901176,-86.906058
-87.125381,33.114576,268,10036000098,West Blocton Elementary School,321,75,2018-2019,33.114576,-87.125381
-87.128399,33.113086,269,10036000099,West Blocton High School,324,81,2018-2019,33.113086,-87.128399
-87.135972,33.05182,270,10036000669,Bibb County Career Academy,285,51,2018-2019,33.05182,-87.135972
-87.131317,33.112679,271,10036001426,West Blocton Middle School,318,79,2018-2019,33.112679,-87.131317
-87.137674,33.209812,272,10036001480,Woodstock Elementary School,316,74,2018-2019,33.209812,-87.137674
-86.808745,33.519706,273,10039000079,Engle Day Treatment,112,80,2018-2019,33.519706,-86.808745
-86.771234,33.51687,274,10039000103,Avondale Elementary School,448,151,2018-2019,33.51687,-86.771234
-86.728095,33.559872,275,10039000106,Barrett Elementary School,94,21,2018-2019,33.559872,-86.728095
-86.899792,33.485642,276,10039000107,Charles A Brown Elementary School,143,30,2018-2019,33.485642,-86.899792
-86.829005,33.487531,277,10039000108,Bush K8,152,65,2018-2019,33.487531,-86.829005
-86.885946,33.484223,278,10039000112,Central Park Elementary School,138,24,2018-2019,33.484223,-86.885946
-86.690317,33.580532,279,10039000113,Christian School,282,81,2018-2019,33.580532,-86.690317
